"","date","MarketCap","Adj_Price","NetBuyAmount_Inst","NetBuyAmount_Frgn"
"3",2000-01-04,3914311,50290,150,272763
"4",2000-01-05,3689799,47406,-273865,570067
"5",2000-01-06,3465288,44521,-786044,-1641627
"6",2000-01-07,3709322,47657,-703465,2472647
"7",2000-01-10,3904549,50165,-1018449,2758335
"8",2000-01-11,3894788,50039,669182,139242
"9",2000-01-12,3894788,50039,-738464,802208
"10",2000-01-13,3924072,50416,487405,-188618
"11",2000-01-14,3982640,51168,-146501,996953
"12",2000-01-17,4090015,52548,578079,579064
"13",2000-01-18,4260839,54742,-669782,2483974
"14",2000-01-19,4080254,52422,40044,464849
"15",2000-01-20,4343811,55808,749532,-19347
"16",2000-01-21,3914311,50290,-19564,-154964
"17",2000-01-24,3885027,49914,472347,-507893
"18",2000-01-25,3782532,48597,-46824,98046
"19",2000-01-26,3797174,48785,227436,96163
"20",2000-01-27,3904549,50165,108051,-402827
"21",2000-01-28,3904549,50165,423212,-354609
"22",2000-01-31,3904549,50165,444917,-166570
"23",2000-02-01,3816697,49036,493306,-720675
"24",2000-02-02,3963118,50917,1007237,-404936
"25",2000-02-03,3987521,51231,586222,2243
"26",2000-02-07,3963118,50917,-184368,304469
"27",2000-02-08,3933833,50541,24646,20070
"28",2000-02-09,3933833,50541,341457,32147
"29",2000-02-10,3670276,47155,-468465,-69155
"30",2000-02-11,3694680,47468,-502985,-1384898
"31",2000-02-14,3553140,45650,329497,-49740
"32",2000-02-15,3538498,45462,474339,-84165
"33",2000-02-16,3514094,45148,725794,-678977
"34",2000-02-17,3670276,47155,155080,137768
"35",2000-02-18,3709322,47657,608953,-987810
"36",2000-02-21,3709322,47657,-18491,161316
"37",2000-02-22,3611708,46402,146445,49992
"38",2000-02-23,3611708,46402,264962,-641994
"39",2000-02-24,3543379,45525,300834,-467773
"40",2000-02-25,3416481,43894,-194477,-101679
"41",2000-02-28,3104117,39881,-304558,-47812
"42",2000-02-29,2923531,37561,-807753,-610973
"43",2000-03-02,3094355,39756,-672640,-1022436
"44",2000-03-03,2977219,38251,16834,-43078
"45",2000-03-06,3172446,40759,-235642,-83712
"46",2000-03-07,3118759,40069,71139,125342
"47",2000-03-08,3089475,39693,-49889,-79372
"48",2000-03-09,2991861,38439,-712266,-406587
"49",2000-03-10,2938173,37749,-948788,-1154282
"50",2000-03-13,2655094,34112,-1585231,-607575
"51",2000-03-14,2586764,33234,-461221,-329583
"52",2000-03-15,2386656,30663,-219853,-910442
"53",2000-03-16,2445224,31416,224526,120654
"54",2000-03-17,2684378,34488,-152699,199963
"55",2000-03-20,2860082,36746,382756,823396
"56",2000-03-21,2855202,36683,1141266,-66547
"57",2000-03-22,3011384,38690,567006,140425
"58",2000-03-23,2830798,36369,1092320,-655958
"59",2000-03-24,2928412,37624,27986,266934
"60",2000-03-27,2879605,36997,-114052,130319
"61",2000-03-28,2967458,38125,101028,306403
"62",2000-03-29,3094355,39756,256102,358953
"63",2000-03-30,3172446,40759,588557,-229878
"64",2000-03-31,3084594,39630,552280,-249838
"65",2000-04-03,3074833,39505,413215,-282901
"66",2000-04-04,2996742,38501,448383,-21485
"67",2000-04-06,3113878,40006,-1055282,2385273
"68",2000-04-07,3299344,42389,-514588,1560795
"69",2000-04-10,3162685,40633,-2627078,1957885
"70",2000-04-11,3026026,38878,-2182744,389243
"71",2000-04-12,2982100,38313,-128084,-799883
"72",2000-04-14,2806395,36056,14655,-547184
"73",2000-04-17,2450105,31478,806707,-603757
"74",2000-04-18,2762469,35492,-70467,91830
"75",2000-04-19,2733185,35115,44834,94575
"76",2000-04-20,2767349,35554,614037,-852458
"77",2000-04-21,2821037,36244,423519,-17607
"78",2000-04-24,2699020,34676,-168352,-8700
"79",2000-04-25,2689258,34551,-29169,-59363
"80",2000-04-26,2537957,32607,-151036,157749
"81",2000-04-27,2411059,30977,370804,-1206088
"82",2000-04-28,2489150,31980,-236784,-1143646
"83",2000-05-02,2537957,32607,-291559,178057
"84",2000-05-03,2616048,33610,179076,241106
"85",2000-05-04,2567241,32983,-245463,-287678
"86",2000-05-08,2547718,32733,-245976,-67340
"87",2000-05-09,2572122,33046,-334874,557600
"88",2000-05-10,2537957,32607,-31260,38168
"89",2000-05-12,2440343,31353,92936,-546376
"90",2000-05-15,2284161,29346,-35789,-43057
"91",2000-05-16,2342730,30099,-83091,-335733
"92",2000-05-17,2264639,29096,339755,-305089
"93",2000-05-18,2147502,27591,282246,-382177
"94",2000-05-19,2127979,27340,-128443,-269441
"95",2000-05-22,2010843,25835,-178549,17332
"96",2000-05-23,1747286,22449,-736451,-348829
"97",2000-05-24,1805854,23201,-165825,51803
"98",2000-05-25,1962036,25208,-232117,-725853
"99",2000-05-26,1952275,25082,-955944,1293074
"100",2000-05-29,1996201,25647,-198087,33565
"101",2000-05-30,2147502,27591,-149870,-187937
"102",2000-05-31,2147502,27591,119214,-1089316
"103",2000-06-01,2020604,25960,-141051,-811301
"104",2000-06-02,2001082,25709,-1052035,-50316
"105",2000-06-05,2142621,27528,-411851,-605768
"106",2000-06-07,2215832,28469,-382913,-23813
"107",2000-06-08,2245116,28845,-1034884,754516
"108",2000-06-09,2513554,32294,220507,1290297
"109",2000-06-12,2669736,34300,-843521,666608
"110",2000-06-13,2435463,31290,-248937,425327
"111",2000-06-14,2352491,30224,-448098,-517349
"112",2000-06-15,2210951,28406,-946101,926404
"113",2000-06-16,2245116,28845,-330004,305581
"114",2000-06-19,2293923,29472,-484517,771612
"115",2000-06-20,2318326,29785,-47734,197729
"116",2000-06-21,2337849,30036,-590052,1182126
"117",2000-06-22,2264639,29096,-274258,-377310
"118",2000-06-23,2181667,28030,-611816,-255599
"119",2000-06-26,2181667,28030,-31220,-459468
"120",2000-06-27,2245116,28845,-223684,-248937
"121",2000-06-28,2249997,28907,260337,129538
"122",2000-06-29,2171906,27904,-10070,-655689
"123",2000-06-30,2176786,27967,-276406,134879
"124",2000-07-03,2215832,28469,66377,-73920
"125",2000-07-04,2127979,27340,-146433,-662347
"126",2000-07-05,2132860,27403,-506899,-415583
"127",2000-07-06,2137741,27465,-222560,-183493
"128",2000-07-07,2167025,27841,-520637,-384830
"129",2000-07-10,2167025,27841,-298780,-256670
"130",2000-07-11,2186548,28092,29763,-324783
"131",2000-07-12,2167025,27841,-102913,-594532
"132",2000-07-13,2098695,26964,-524661,-266225
"133",2000-07-14,2030366,26086,-344001,-1073777
"134",2000-07-18,1966917,25270,-714954,2193
"135",2000-07-19,1898587,24393,-12767,-135238
"136",2000-07-20,1771689,22762,14062,-2507685
"137",2000-07-21,1854661,23828,14431,-277379
"138",2000-07-24,1766809,22700,234545,-22805
"139",2000-07-25,1791212,23013,137494,-53715
"140",2000-07-26,1805854,23201,135054,-82842
"141",2000-07-27,1791212,23013,373217,-261715
"142",2000-07-28,1737524,22323,591203,-531675
"143",2000-07-31,1849780,23766,-220896,553754
"144",2000-08-01,1854661,23828,69582,56685
"145",2000-08-02,1840019,23640,231783,-1327
"146",2000-08-03,1840019,23640,-96640,-35545
"147",2000-08-04,1805854,23201,-144472,96732
"148",2000-08-07,1727763,22198,-88367,-66998
"149",2000-08-08,1683837,21634,-46816,-39856
"150",2000-08-09,1757047,22574,167229,-74357
"151",2000-08-10,1800973,23138,38417,-29371
"152",2000-08-11,1761928,22637,38676,-130609
"153",2000-08-14,1776570,22825,-388396,-174532
"154",2000-08-16,1781451,22888,-16936,-217424
"155",2000-08-17,1825377,23452,-65202,85235
"156",2000-08-18,1830258,23515,9045,-10176
"157",2000-08-21,1849780,23766,113945,194681
"158",2000-08-22,1932752,24832,182004,461643
"159",2000-08-23,1922991,24706,188335,267530
"160",2000-08-24,1903468,24455,159083,123616
"161",2000-08-25,1883945,23959,182524,-60821
"162",2000-08-28,1854661,23586,-64898,43890
"163",2000-08-29,1849780,23524,-77805,5972
"164",2000-08-30,1844900,23462,-166597,-2985
"165",2000-08-31,1825377,23214,56915,106773
"166",2000-09-01,1810735,23028,250386,-12953
"167",2000-09-04,1771689,22531,74920,-104452
"168",2000-09-05,1796093,22842,15265,66385
"169",2000-09-06,1805854,22966,80501,-44531
"170",2000-09-07,1761928,22407,860867,-674274
"171",2000-09-08,1727763,21973,798732,-1181647
"172",2000-09-14,1688718,21476,302150,-975707
"173",2000-09-15,1542297,19614,255305,-594916
"174",2000-09-18,1351950,17193,88594,-145918
"175",2000-09-19,1249456,15890,-360941,-240065
"176",2000-09-20,1351950,17193,-73908,-290098
"177",2000-09-21,1347070,17131,204043,88343
"178",2000-09-22,1200649,15269,-239114,-214428
"179",2000-09-25,1308024,16635,38863,-50519
"180",2000-09-26,1376354,17504,-50289,4577
"181",2000-09-27,1415399,18000,185742,25125
"182",2000-09-28,1390996,17690,315789,-670032
"183",2000-09-29,1356831,17255,-454531,-122703
"184",2000-10-02,1264098,16076,-1006553,-812787
"185",2000-10-04,1342189,17069,-151083,-131316
"186",2000-10-05,1278740,16262,-1671812,434768
"187",2000-10-06,1229933,15641,-489674,-860188
"188",2000-10-09,1200649,15269,-130092,-595659
"189",2000-10-10,1210410,15393,43090,-921629
"190",2000-10-11,1195768,15207,-131976,334022
"191",2000-10-12,1151842,14648,89817,-218447
"192",2000-10-13,1088393,13841,98921,155114
"193",2000-10-16,1103035,14028,-331396,-124055
"194",2000-10-17,966376,12290,-140130,29780
"195",2000-10-18,1005421,12786,-335055,209488
"196",2000-10-19,1015183,12910,-51697,135635
"197",2000-10-20,1063990,13531,65288,-230505
"198",2000-10-23,985899,12538,-100566,-61924
"199",2000-10-24,1024944,13035,7006,-39735
"200",2000-10-25,1044467,13283,35088,-8237
"201",2000-10-26,1054228,13407,-284454,-50156
"202",2000-10-27,1068870,13593,317805,205907
"203",2000-10-30,1010302,12848,-20834,-312990
"204",2000-10-31,1093274,13904,38386,164128
"205",2000-11-01,1254336,15952,347952,-4185
"206",2000-11-02,1308024,16635,324290,54596
"207",2000-11-03,1268979,16138,-135361,-340959
"208",2000-11-06,1317785,16759,14129,493562
"209",2000-11-07,1308024,16635,-241022,182796
"210",2000-11-08,1293382,16448,-74448,-35286
"211",2000-11-09,1288501,16386,-353868,4053
"212",2000-11-10,1273859,16200,-162614,-201968
"213",2000-11-13,1210410,15393,-349032,-89810
"214",2000-11-14,1249456,15890,-229843,105681
"215",2000-11-15,1171365,14897,-520937,239392
"216",2000-11-16,1181126,15021,-153436,-10923
"217",2000-11-17,1200649,15269,-148847,-391532
"218",2000-11-20,1137200,14462,-158212,-36946
"219",2000-11-21,1093274,13904,-94182,-81709
"220",2000-11-22,1063990,13531,5342,-72695
"221",2000-11-23,1024944,13035,52202,-199982
"222",2000-11-24,1083512,13779,-20702,88205
"223",2000-11-27,1127439,14338,100112,-56574
"224",2000-11-28,1103035,14028,75681,41375
"225",2000-11-29,1059109,13469,-98705,31193
"226",2000-11-30,1054228,13407,-27958,-55900
"227",2000-12-01,1015183,12910,374318,-962478
"228",2000-12-04,975161,12401,-58043,-191141
"229",2000-12-05,976137,12414,338823,-698287
"230",2000-12-06,1020064,12972,704840,-54509
"231",2000-12-07,1049348,13345,122834,50930
"232",2000-12-08,1171365,14897,156496,333050
"233",2000-12-11,1195768,15207,-1638,441455
"234",2000-12-12,1142081,14524,178841,-32907
"235",2000-12-13,1259217,16014,-222465,1033026
"236",2000-12-14,1288501,16386,-418291,2408025
"237",2000-12-15,1278740,16262,-631058,1254599
"238",2000-12-18,1112797,14152,-1137684,779305
"239",2000-12-19,1117677,14214,-278201,7673
"240",2000-12-20,951734,12104,222982,-118177
"241",2000-12-21,1044467,13283,-573617,-136526
"242",2000-12-22,1078632,13717,-383384,689789
"243",2000-12-26,1107916,14090,-61421,157119
"244",2001-01-02,1083512,13779,30659,-93606
"245",2001-01-03,1132319,14400,26616,186459
"246",2001-01-04,1220172,15517,296472,432951
"247",2001-01-05,1317785,16759,505513,597312
"248",2001-01-08,1337308,17007,87813,921218
"249",2001-01-09,1410518,17938,274320,559479
"250",2001-01-10,1298263,16510,578544,-61127
"251",2001-01-11,1303143,16573,-143501,-144000
"252",2001-01-12,1327547,16883,678067,138538
"253",2001-01-15,1405638,17876,12918,433538
"254",2001-01-16,1415399,18000,-6803,312133
"255",2001-01-17,1395876,17752,-15014,140034
"256",2001-01-18,1464206,18621,111078,540904
"257",2001-01-19,1591104,20235,-645083,1668636
"258",2001-01-22,1635030,20793,-775526,621431
"259",2001-01-26,1410518,17938,-482236,-1361713
"260",2001-01-29,1395876,17752,61033,-225887
"261",2001-01-30,1449564,18435,-288599,680933
"262",2001-01-31,1483729,18869,726279,-625817
"263",2001-02-01,1464206,18621,452597,104014
"264",2001-02-02,1430041,18186,-307789,-104794
"265",2001-02-05,1366592,17379,186547,-25626
"266",2001-02-06,1386115,17628,206703,-267036
"267",2001-02-07,1376354,17504,105905,2225
"268",2001-02-08,1405638,17876,69540,35469
"269",2001-02-09,1473967,18745,84456,362717
"270",2001-02-12,1483729,18869,-4739,63424
"271",2001-02-13,1459325,18559,149334,43439
"272",2001-02-14,1444683,18373,-312284,-36094
"273",2001-02-15,1444683,18373,-404950,106464
"274",2001-02-16,1415399,18000,-34705,-99105
"275",2001-02-19,1390996,17690,-152899,37896
"276",2001-02-20,1415399,18000,-312207,33755
"277",2001-02-21,1381234,17566,-95945,-6592
"278",2001-02-22,1395876,17752,-33422,258429
"279",2001-02-23,1386115,17628,-39360,-7941
"280",2001-02-26,1376354,17504,193849,-146804
"281",2001-02-27,1376354,17504,-43725,482959
"282",2001-02-28,1366592,17379,20932,58417
"283",2001-03-02,1312905,16697,255200,-135820
"284",2001-03-05,1234814,15704,42335,-341520
"285",2001-03-06,1200649,15269,-251665,-356226
"286",2001-03-07,1166484,14835,-320177,-162177
"287",2001-03-08,1200649,15269,-58590,-323760
"288",2001-03-09,1166484,14835,69029,-106552
"289",2001-03-12,1132319,14400,203768,-43484
"290",2001-03-13,1078632,13717,-48059,-114330
"291",2001-03-14,1146961,14586,64554,244515
"292",2001-03-15,1166484,14835,156222,67934
"293",2001-03-16,1190888,15145,113265,227670
"294",2001-03-19,1200649,15269,96338,137832
"295",2001-03-20,1166484,14835,11690,-60507
"296",2001-03-21,1151842,14648,120282,-236178
"297",2001-03-22,1132319,14400,-57881,-7005
"298",2001-03-23,1200649,15269,51666,90354
"299",2001-03-26,1156723,14710,18275,-641580
"300",2001-03-27,1171365,14897,-247098,-166352
"301",2001-03-28,1239694,15766,-185163,-227040
"302",2001-03-29,1239694,15766,0,0
"303",2001-03-30,1239694,15766,0,0
"304",2001-04-02,1239694,15766,0,0
"305",2001-04-03,1239694,15766,0,0
"306",2001-04-04,1239694,15766,0,0
"307",2001-04-06,1239694,15766,0,0
"308",2001-04-09,1239694,15766,0,0
"309",2001-04-10,1239694,15766,0,0
"310",2001-04-11,1239694,15766,0,0
"311",2001-04-12,1239694,15766,0,0
"312",2001-04-13,1239694,15766,0,0
"313",2001-04-16,1239694,15766,0,0
"314",2001-04-17,1239694,15766,0,0
"315",2001-04-18,1239694,15766,0,0
"316",2001-04-19,1239694,15766,0,0
"317",2001-04-20,1239694,15766,0,0
"318",2001-04-23,1239694,15766,0,0
"319",2001-04-24,1239694,15766,0,0
"320",2001-04-25,443654,13403,-16176,2228
"321",2001-04-26,377765,11413,-3956,-1505
"322",2001-04-27,321540,9714,-14366,10230
"323",2001-04-30,274099,8281,-1999862,-605158
"324",2001-05-02,276735,8361,-102236,-505313
"325",2001-05-03,252136,7617,-315572,-532254
"326",2001-05-04,249501,7538,-225470,-337271
"327",2001-05-07,244230,7379,-42779,-151608
"328",2001-05-08,243351,7352,-20565,3976
"329",2001-05-09,232809,7033,-122306,-102542
"330",2001-05-10,230173,6954,-113896,-100096
"331",2001-05-11,226659,6848,42803,-476194
"332",2001-05-14,219631,6635,-115966,-212806
"333",2001-05-15,226659,6848,-112298,-20387
"334",2001-05-16,238958,7219,-100281,958
"335",2001-05-17,240715,7272,11750,-18688
"336",2001-05-18,250379,7564,147196,162867
"337",2001-05-21,244230,7379,86701,-171756
"338",2001-05-22,238080,7193,-3542,31460
"339",2001-05-23,238958,7219,5330,-6917
"340",2001-05-24,245987,7432,9053,-46140
"341",2001-05-25,254772,7697,35934,48310
"342",2001-05-28,246865,7458,37478,-10076
"343",2001-05-29,251258,7591,7228,140
"344",2001-05-30,265314,8016,302026,-88006
"345",2001-05-31,272342,8228,770134,-363961
"346",2001-06-01,261800,7909,65964,-42609
"347",2001-06-04,252136,7617,-11110,-45779
"348",2001-06-05,241594,7299,8868,-63340
"349",2001-06-07,244230,7379,6636,-56069
"350",2001-06-08,250379,7564,36866,-17788
"351",2001-06-11,245987,7432,-12840,17010
"352",2001-06-12,245108,7405,-5973,-2713
"353",2001-06-13,246865,7458,-29820,2119
"354",2001-06-14,245987,7432,-7145,6608
"355",2001-06-15,248622,7511,-13052,-35935
"356",2001-06-18,239837,7246,-123014,0
"357",2001-06-19,238080,7193,-11836,-27258
"358",2001-06-20,208210,6290,-418071,-218927
"359",2001-06-21,199425,6025,-229235,-216638
"360",2001-06-22,197668,5972,54878,-246447
"361",2001-06-25,196789,5945,-43723,11317
"362",2001-06-26,180976,5468,-98793,-7562
"363",2001-06-27,177462,5361,-176893,-2915
"364",2001-06-28,180097,5441,-36583,-19883
"365",2001-06-29,178340,5388,-28334,-84526
"366",2001-07-02,183611,5547,-7035,-199329
"367",2001-07-03,181854,5494,-37572,-151235
"368",2001-07-04,179219,5414,8596,-130753
"369",2001-07-05,180097,5441,32664,15772
"370",2001-07-06,180097,5441,33971,64025
"371",2001-07-09,175705,5308,-17516,61668
"372",2001-07-10,193275,5839,-21491,-55835
"373",2001-07-11,185368,5600,73009,-970
"374",2001-07-12,186247,5627,12462,-9982
"375",2001-07-13,175529,5303,-3246,-14593
"376",2001-07-16,174651,5276,22424,-15028
"377",2001-07-18,164811,4979,1194,16766
"378",2001-07-19,157256,4751,21663,-20008
"379",2001-07-20,153039,4624,2846,1507
"380",2001-07-23,135293,4087,-124869,-17880
"381",2001-07-24,130373,3939,-36750,-3166
"382",2001-07-25,132657,4008,-14013,-1029
"383",2001-07-26,260363,4444,12980,-4142
"384",2001-07-27,281779,4809,19821,19118
"385",2001-07-30,267502,4566,-19525,2801
"386",2001-07-31,281403,4803,-55556,100232
"387",2001-08-01,282154,4816,39686,-116762
"388",2001-08-02,274264,4681,634,-9598
"389",2001-08-03,277646,4739,-47904,26032
"390",2001-08-06,277270,4732,-6230,0
"391",2001-08-07,274264,4681,-10966,0
"392",2001-08-08,269380,4598,-19644,2959
"393",2001-08-09,278022,4745,-46411,-150
"394",2001-08-10,311835,5322,-84709,41593
"395",2001-08-13,305824,5220,-38581,-19867
"396",2001-08-14,302442,5162,3413,1296
"397",2001-08-16,287790,4912,-24212,-55549
"398",2001-08-17,292298,4989,186,-56630
"399",2001-08-20,295680,5047,11390,53808
"400",2001-08-21,306575,5233,33203,139212
"401",2001-08-22,297558,5079,24026,18732
"402",2001-08-23,293425,5008,118067,1150
"403",2001-08-24,285536,4873,57531,-73269
"404",2001-08-27,287038,4899,-6775,6782
"405",2001-08-28,284033,4848,-36522,0
"406",2001-08-29,263369,4495,-99994,-5804
"407",2001-08-30,259612,4431,-22858,7
"408",2001-08-31,244584,4174,-3556,1006
"409",2001-09-03,241578,4123,873,-1712
"410",2001-09-04,246087,4200,-353,939
"411",2001-09-05,257358,4393,-3674,4424
"412",2001-09-06,253601,4328,-463,-4708
"413",2001-09-07,255855,4367,-2954,-5827
"414",2001-09-10,252098,4303,-2073,6027
"415",2001-09-11,252474,4309,20863,-6066
"416",2001-09-12,214903,3668,13580,1480
"417",2001-09-13,219412,3745,-13107,-1614
"418",2001-09-14,199124,3399,-35495,-2480
"419",2001-09-17,185598,3168,-8262,-1026
"420",2001-09-18,193488,3302,-58496,69128
"421",2001-09-19,191985,3277,-850,0
"422",2001-09-20,191609,3270,-31372,-261
"423",2001-09-21,199499,3405,54996,-8391
"424",2001-09-24,199875,3411,-15141,2151
"425",2001-09-25,192361,3283,-42243,-15290
"426",2001-09-26,193488,3302,-36484,-3118
"427",2001-09-27,195366,3334,-56379,8493
"428",2001-09-28,199124,3399,-114642,75269
"429",2001-10-04,205886,3514,-21128,-4268
"430",2001-10-05,202881,3463,-1219,-17885
"431",2001-10-08,199499,3405,28718,-2646
"432",2001-10-09,210395,3591,27940,2254
"433",2001-10-10,217909,3719,95349,-66
"434",2001-10-11,218284,3726,-52895,209
"435",2001-10-12,219036,3738,-32672,-59580
"436",2001-10-15,251722,4296,-373776,-1842
"437",2001-10-16,251722,4296,-67985,348
"438",2001-10-17,245335,4187,7601,9718
"439",2001-10-18,262242,4476,-45890,-101444
"440",2001-10-19,259236,4425,-17271,26406
"441",2001-10-22,256231,4373,16387,-82193
"442",2001-10-23,253601,4328,-88862,-1133
"443",2001-10-24,252849,4316,44621,34
"444",2001-10-25,262993,4489,44158,3006
"445",2001-10-26,264872,4521,-62301,-140
"446",2001-10-29,259236,4425,-3979,5620
"447",2001-10-30,248341,4239,60295,-12633
"448",2001-10-31,248341,4239,3936,681
"449",2001-11-01,250971,4283,-12842,-668
"450",2001-11-02,254728,4348,36471,-4667
"451",2001-11-05,259988,4437,-12098,-26674
"452",2001-11-06,261115,4457,33819,-1133
"453",2001-11-07,260363,4444,-40538,786
"454",2001-11-08,259236,4425,-1717,-1832
"455",2001-11-09,238948,4078,-219973,-133
"456",2001-11-12,243081,4149,-94056,1
"457",2001-11-13,241202,4117,28032,-42228
"458",2001-11-14,250595,4277,42572,2612
"459",2001-11-15,255479,4360,54104,3169
"460",2001-11-16,259612,4431,15374,336
"461",2001-11-19,260363,4444,31644,9249
"462",2001-11-20,266750,4553,1421,28948
"463",2001-11-21,268253,4578,26717,-5161
"464",2001-11-22,265623,4534,-77055,-1368
"465",2001-11-23,269380,4598,-3323,868
"466",2001-11-26,309581,5284,-129023,-28284
"467",2001-11-27,307702,5252,-135998,12957
"468",2001-11-28,283657,4841,2745,9301
"469",2001-11-29,289293,4938,-4749,3141
"470",2001-11-30,300564,5130,-132988,-2275
"471",2001-12-03,306951,5239,-20981,654
"472",2001-12-04,300564,5130,-5966,1984
"473",2001-12-05,301691,5149,89368,53232
"474",2001-12-06,289668,4944,-4130,-41020
"475",2001-12-07,319725,5457,396646,4943
"476",2001-12-10,326863,5579,-75334,63332
"477",2001-12-11,315592,5386,59309,-10258
"478",2001-12-12,316343,5399,52340,-14373
"479",2001-12-13,308078,5258,13324,1498
"480",2001-12-14,306951,5239,-5734,3912
"481",2001-12-17,295680,5047,-4050,-651
"482",2001-12-18,279149,4764,19442,-2462
"483",2001-12-19,272386,4649,13277,-265
"484",2001-12-20,291547,4976,34965,69980
"485",2001-12-21,292298,4989,42348,-5726
"486",2001-12-24,303945,5188,11939,-6143
"487",2001-12-26,311835,5322,-32274,-42
"488",2001-12-27,304321,5194,-8068,2748
"489",2001-12-28,308078,5258,133666,0
"490",2002-01-02,770479,5213,-123877,-2459
"491",2002-01-03,796067,5386,132934,27229
"492",2002-01-04,789433,5342,65126,22109
"493",2002-01-07,775218,5245,1023,-64000
"494",2002-01-08,758159,5130,-57210,4396
"495",2002-01-09,758159,5130,27484,4848
"496",2002-01-10,797015,5393,38501,193811
"497",2002-01-11,797015,5393,13336,114878
"498",2002-01-14,799858,5412,-54672,10557
"499",2002-01-15,799858,5412,127513,-5849
"500",2002-01-16,837766,5669,32649,-6054
"501",2002-01-17,833975,5643,193180,-5738
"502",2002-01-18,869988,5887,135585,-75808
"503",2002-01-21,893680,6047,50008,-42822
"504",2002-01-22,901262,6098,92967,222
"505",2002-01-23,961914,6509,119253,286
"506",2002-01-24,947699,6412,73307,129197
"507",2002-01-25,971391,6573,243850,39260
"508",2002-01-28,1023515,6925,206543,17387
"509",2002-01-29,1032992,6990,26362,-19943
"510",2002-01-30,947699,6412,-27144,747
"511",2002-01-31,933483,6316,-158382,-43076
"512",2002-02-01,893680,6047,-33893,60911
"513",2002-02-04,887994,6008,-31234,0
"514",2002-02-05,890837,6028,4278,63005
"515",2002-02-06,890837,6028,50615,25999
"516",2002-02-07,867145,5867,-261614,-206068
"517",2002-02-08,852929,5771,17243,-49332
"518",2002-02-14,901262,6098,79236,3035
"519",2002-02-15,947699,6412,-65408,43702
"520",2002-02-18,971391,6573,63612,-8127
"521",2002-02-19,957176,6477,6952,-14067
"522",2002-02-20,947699,6412,-43940,-4817
"523",2002-02-21,966653,6541,27642,4889
"524",2002-02-22,1018776,6893,32084,202292
"525",2002-02-25,995084,6733,179896,-88937
"526",2002-02-26,1085115,7342,360731,51541
"527",2002-02-27,1099331,7438,593116,-10384
"528",2002-02-28,1108808,7503,43954,49150
"529",2002-03-04,1113546,7535,87390,57031
"530",2002-03-05,1085115,7342,49906,-24422
"531",2002-03-06,1108808,7503,84638,190442
"532",2002-03-07,1184624,8016,-185954,765359
"533",2002-03-08,1222532,8272,81514,217646
"534",2002-03-11,1345733,9106,-275965,1254582
"535",2002-03-12,1345733,9106,248413,206002
"536",2002-03-13,1421548,9619,-108739,85524
"537",2002-03-14,1516318,10260,-120279,49954
"538",2002-03-15,1639519,11093,-106720,189725
"539",2002-03-18,1639519,11093,-228701,227669
"540",2002-03-19,1639519,11093,-593738,131121
"541",2002-03-20,1658473,11222,-220660,253781
"542",2002-03-21,1554226,10516,-130533,-1117
"543",2002-03-22,1530534,10356,-6098,84981
"544",2002-03-25,1544749,10452,-82055,-49421
"545",2002-03-26,1478410,10003,245042,83219
"546",2002-03-27,1544749,10452,-115365,-540
"547",2002-03-28,1544749,10452,134620,-101729
"548",2002-03-29,1516318,10260,123074,4421
"549",2002-04-01,1511580,10228,-65846,-5865
"550",2002-04-02,1521057,10292,61591,-77953
"551",2002-04-03,1630042,11029,-395118,3465
"552",2002-04-04,1587396,10741,-175653,-46841
"553",2002-04-08,1487887,10067,18709,-90507
"554",2002-04-09,1383641,9362,-325779,-4916
"555",2002-04-10,1288871,8721,-170724,-103451
"556",2002-04-11,1307825,8849,-460907,-130840
"557",2002-04-12,1312563,8881,-93111,-207195
"558",2002-04-15,1317302,8913,-361764,-5007
"559",2002-04-16,1269917,8593,-68376,-20224
"560",2002-04-17,1279394,8657,-238619,63909
"561",2002-04-18,1374164,9298,-412019,139703
"562",2002-04-19,1516318,10260,-479670,389227
"563",2002-04-22,1355210,9170,125241,-559056
"564",2002-04-23,1317302,8913,-55255,-361299
"565",2002-04-24,1203578,8144,-77239,-330567
"566",2002-04-25,1051946,7118,-301915,-317571
"567",2002-04-26,1151454,7791,-29688,-25242
"568",2002-04-29,1118285,7567,157539,8089
"569",2002-04-30,1146716,7759,116769,-10003
"570",2002-05-02,1127762,7631,15786,-659798
"571",2002-05-03,1118285,7567,85092,-116
"572",2002-05-06,1123023,7599,93243,-22489
"573",2002-05-07,1203578,8144,159648,11519
"574",2002-05-08,1265178,8561,-409260,913469
"575",2002-05-09,1326779,8977,-189483,1033617
"576",2002-05-10,1326779,8977,-29971,684079
"577",2002-05-13,1331517,9009,-23473,346499
"578",2002-05-14,1350471,9138,59117,403509
"579",2002-05-15,1336256,9041,32710,104787
"580",2002-05-16,1364687,9234,-10520,264935
"581",2002-05-17,1426287,9651,46288,235207
"582",2002-05-20,1393118,9426,-212360,176147
"583",2002-05-21,1345733,9106,-99742,529769
"584",2002-05-22,1374164,9298,-5527,73693
"585",2002-05-23,1326779,8977,-198589,23890
"586",2002-05-24,1355210,9170,80283,181099
"587",2002-05-27,1340994,9074,20046,-8347
"588",2002-05-28,1331517,9009,54758,183240
"589",2002-05-29,1255701,8496,257377,-539883
"590",2002-05-30,1208316,8176,136209,2992
"591",2002-05-31,1217793,8240,105518,184918
"592",2002-06-03,1208316,8176,12785,-7787
